id,Time,Time_of_day,Visitors,Day,MonthName,year,Month,Date,day
177,16:30,PM,440,28,March,2014,3,3/28/2014,Friday
178,17:00,PM,126,28,March,2014,3,3/28/2014,Friday
179,11:00,AM,55,29,March,2014,3,3/29/2014,Saturday
180,11:30,AM,24,29,March,2014,3,3/29/2014,Saturday
181,12:00,PM,338,29,March,2014,3,3/29/2014,Saturday
182,12:30,PM,258,29,March,2014,3,3/29/2014,Saturday
183,13:30,PM,48,29,March,2014,3,3/29/2014,Saturday
184,11:30,AM,307,1,April,2014,4,4/1/2014,Tuesday
185,12:00,PM,119,1,April,2014,4,4/1/2014,Tuesday
186,12:30,PM,125,1,April,2014,4,4/1/2014,Tuesday
187,13:00,PM,163,1,April,2014,4,4/1/2014,Tuesday
188,14:30,PM,16,1,April,2014,4,4/1/2014,Tuesday
189,18:00,PM,60,1,April,2014,4,4/1/2014,Tuesday
190,12:00,PM,107,2,April,2014,4,4/2/2014,Wednesday
191,12:30,PM,87,2,April,2014,4,4/2/2014,Wednesday
192,13:00,PM,78,2,April,2014,4,4/2/2014,Wednesday
193,13:30,PM,30,2,April,2014,4,4/2/2014,Wednesday
194,17:30,PM,105,2,April,2014,4,4/2/2014,Wednesday
195,18:00,PM,505,2,April,2014,4,4/2/2014,Wednesday
196,11:30,AM,48,3,April,2014,4,4/3/2014,Thursday
197,12:00,PM,426,3,April,2014,4,4/3/2014,Thursday
198,12:30,PM,54,3,April,2014,4,4/3/2014,Thursday
199,13:00,PM,650,3,April,2014,4,4/3/2014,Thursday
200,16:30,PM,100,3,April,2014,4,4/3/2014,Thursday
201,17:30,PM,71,3,April,2014,4,4/3/2014,Thursday
202,18:00,PM,206,3,April,2014,4,4/3/2014,Thursday
203,11:00,AM,33,4,April,2014,4,4/4/2014,Friday
204,11:30,AM,84,4,April,2014,4,4/4/2014,Friday
205,12:00,PM,134,4,April,2014,4,4/4/2014,Friday
206,12:30,PM,69,4,April,2014,4,4/4/2014,Friday
207,13:00,PM,95,4,April,2014,4,4/4/2014,Friday
208,13:30,PM,56,4,April,2014,4,4/4/2014,Friday
209,14:00,PM,30,4,April,2014,4,4/4/2014,Friday
210,17:30,PM,100,4,April,2014,4,4/4/2014,Friday
211,11:00,AM,54,5,April,2014,4,4/5/2014,Saturday
212,11:30,AM,249,5,April,2014,4,4/5/2014,Saturday
213,12:00,PM,117,5,April,2014,4,4/5/2014,Saturday
214,12:30,PM,277,5,April,2014,4,4/5/2014,Saturday
215,13:00,PM,150,5,April,2014,4,4/5/2014,Saturday
216,13:30,PM,81,5,April,2014,4,4/5/2014,Saturday
217,17:00,PM,84,5,April,2014,4,4/5/2014,Saturday
218,17:30,PM,25,5,April,2014,4,4/5/2014,Saturday
219,12:00,PM,63,6,April,2014,4,4/6/2014,Sunday
220,12:30,PM,43,6,April,2014,4,4/6/2014,Sunday
221,13:00,PM,348,6,April,2014,4,4/6/2014,Sunday
222,16:00,PM,44,6,April,2014,4,4/6/2014,Sunday
223,11:00,AM,56,7,April,2014,4,4/7/2014,Monday
224,12:00,PM,181,7,April,2014,4,4/7/2014,Monday
225,13:30,PM,81,7,April,2014,4,4/7/2014,Monday
226,14:00,PM,33,7,April,2014,4,4/7/2014,Monday
227,17:30,PM,68,7,April,2014,4,4/7/2014,Monday
228,11:00,AM,115,8,April,2014,4,4/8/2014,Tuesday
229,11:30,AM,171,8,April,2014,4,4/8/2014,Tuesday
230,12:00,PM,415,8,April,2014,4,4/8/2014,Tuesday
231,12:30,PM,588,8,April,2014,4,4/8/2014,Tuesday
232,13:00,PM,103,8,April,2014,4,4/8/2014,Tuesday
233,13:30,PM,69,8,April,2014,4,4/8/2014,Tuesday
234,16:30,PM,80,8,April,2014,4,4/8/2014,Tuesday
235,11:30,AM,34,9,April,2014,4,4/9/2014,Wednesday
236,12:00,PM,455,9,April,2014,4,4/9/2014,Wednesday
237,12:30,PM,250,9,April,2014,4,4/9/2014,Wednesday
238,13:00,PM,308,9,April,2014,4,4/9/2014,Wednesday
239,13:30,PM,57,9,April,2014,4,4/9/2014,Wednesday
240,16:00,PM,52,9,April,2014,4,4/9/2014,Wednesday
241,17:00,PM,118,9,April,2014,4,4/9/2014,Wednesday
242,7:30,AM,84,10,April,2014,4,4/10/2014,Thursday
243,11:00,AM,109,10,April,2014,4,4/10/2014,Thursday
244,11:30,AM,131,10,April,2014,4,4/10/2014,Thursday
245,12:00,PM,242,10,April,2014,4,4/10/2014,Thursday
246,12:30,PM,484,10,April,2014,4,4/10/2014,Thursday
247,13:00,PM,157,10,April,2014,4,4/10/2014,Thursday
248,13:30,PM,80,10,April,2014,4,4/10/2014,Thursday
249,17:30,PM,200,10,April,2014,4,4/10/2014,Thursday
