Time	Time_of_day	Visitors	Day	Month	year
4:30 PM	PM	56	23	April	2014
5:00 PM	PM	46	23	April	2014
11:30 AM	AM	96	24	April	2014
12:00 PM	PM	335	24	April	2014
12:30 PM	PM	115	24	April	2014
1:00 PM	PM	359	24	April	2014
5:00 PM	PM	133	24	April	2014
5:30 PM	PM	472	24	April	2014
6:30 PM	PM	48	24	April	2014
8:00 AM	AM	108	25	April	2014
11:00 AM	AM	82	25	April	2014
11:30 AM	AM	45	25	April	2014
12:00 PM	PM	1032	25	April	2014
12:30 PM	PM	578	25	April	2014
1:00 PM	PM	277	25	April	2014
1:30 PM	PM	308	25	April	2014
5:00 PM	PM	192	25	April	2014
5:30 PM	PM	155	25	April	2014
6:00 PM	PM	81	25	April	2014
11:00 AM	AM	174	26	April	2014
11:30 AM	AM	143	26	April	2014
12:00 PM	PM	346	26	April	2014
12:30 PM	PM	150	26	April	2014
1:00 PM	PM	96	26	April	2014
4:00 PM	PM	44	26	April	2014
11:00 AM	AM	303	1	May	2014
11:30 AM	AM	27	1	May	2014
11:45 AM	AM	37	1	May	2014
12:00 PM	PM	765	1	May	2014
12:15 PM	PM	49	1	May	2014
12:30 PM	PM	195	1	May	2014
1:00 PM	PM	356	1	May	2014
5:00 PM	PM	255	1	May	2014
5:30 PM	PM	352	1	May	2014
6:00 PM	PM	58	1	May	2014
10:30 AM	AM	57	2	May	2014
10:45 AM	AM	43	2	May	2014
11:00 AM	AM	138	2	May	2014
11:30 AM	AM	133	2	May	2014
11:45 AM	AM	21	2	May	2014
12:00 PM	PM	759	2	May	2014
12:15 PM	PM	30	2	May	2014
12:30 PM	PM	78	2	May	2014
1:00 PM	PM	45	2	May	2014
1:30 PM	PM	45	2	May	2014
5:00 PM	PM	276	2	May	2014
5:30 PM	PM	83	2	May	2014
11:30 AM	AM	49	3	May	2014
12:00 PM	PM	716	3	May	2014
12:30 PM	PM	421	3	May	2014
1:00 PM	PM	452	3	May	2014
1:15 PM	PM	110	3	May	2014
2:00 PM	PM	86	3	May	2014
5:30 PM	PM	83	3	May	2014
12:00 PM	PM	143	3	May	2014
12:30 PM	PM	120	3	May	2014
1:30 PM	PM	94	3	May	2014
2:00 PM	PM	343	3	May	2014
12:00 PM	PM	195	5	May	2014
12:30 PM	PM	407	5	May	2014
1:30 PM	PM	85	5	May	2014
4:00 PM	PM	21	5	May	2014
5:00 PM	PM	77	5	May	2014
11:00 AM	AM	34	6	May	2014
12:00 PM	PM	427	6	May	2014
12:30 PM	PM	144	6	May	2014
1:30 PM	PM	101	6	May	2014
5:30 PM	PM	55	6	May	2014
7:00 AM	AM	44	7	May	2014
11:00 AM	AM	633	7	May	2014
11:30 AM	AM	70	7	May	2014
12:00 PM	PM	471	7	May	2014
12:30 PM	PM	381	7	May	2014
1:00 PM	PM	25	7	May	2014
1:15 PM	PM	142	7	May	2014
1:30 PM	PM	44	7	May	2014
4:30 PM	PM	207	7	May	2014
5:15 PM	PM	33	7	May	2014
5:30 PM	PM	47	7	May	2014
6:00 PM	PM	177	7	May	2014
11:00 AM	AM	45	8	May	2014
11:15 AM	AM	83	8	May	2014
11:30 AM	AM	512	8	May	2014
11:45 AM	AM	34	8	May	2014
12:00 PM	PM	1212	8	May	2014
12:15 PM	PM	70	8	May	2014
12:30 PM	PM	875	8	May	2014
1:00 PM	PM	498	8	May	2014
1:30 PM	PM	30	8	May	2014
4:30 PM	PM	100	8	May	2014
5:00 PM	PM	310	8	May	2014
5:30 PM	PM	100	8	May	2014
6:00 PM	PM	165	8	May	2014
8:00 AM	AM	122	9	May	2014
11:00 AM	AM	217	9	May	2014
11:30 AM	AM	179	9	May	2014
12:00 PM	PM	214	9	May	2014
12:30 PM	PM	246	9	May	2014
1:00 PM	PM	604	9	May	2014
5:00 PM	PM	210	9	May	2014
5:30 PM	PM	55	9	May	2014
11:30 AM	AM	399	10	May	2014
11:45 AM	AM	53	10	May	2014
12:00 PM	PM	162	10	May	2014
12:30 PM	PM	374	10	May	2014
11:00 AM	AM	113	11	May	2014
12:00 PM	PM	81	11	May	2014
1:00 PM	PM	32	11	May	2014
1:30 PM	PM	65	11	May	2014
11:00 AM	AM	50	12	May	2014
12:00 PM	PM	69	12	May	2014
12:15 PM	PM	34	12	May	2014
12:30 PM	PM	258	12	May	2014
5:00 PM	PM	18	12	May	2014
5:30 PM	PM	207	12	May	2014
6:00 PM	PM	15	12	May	2014
11:00 AM	AM	49	13	May	2014
11:30 AM	AM	134	13	May	2014
12:00 PM	PM	321	13	May	2014
12:15 PM	PM	131	13	May	2014
12:30 PM	PM	537	13	May	2014
1:00 PM	PM	195	13	May	2014
5:00 PM	PM	30	13	May	2014
5:30 PM	PM	434	13	May	2014
5:45 PM	PM	38	13	May	2014
6:00 PM	PM	26	13	May	2014
10:30 AM	AM	186	14	May	2014
11:15 AM	AM	15	14	May	2014
11:30 AM	AM	309	14	May	2014
12:00 PM	PM	431	14	May	2014
12:15 PM	PM	96	14	May	2014
12:30 PM	PM	310	14	May	2014
1:00 PM	PM	541	14	May	2014
4:30 PM	PM	248	14	May	2014
5:00 PM	PM	255	14	May	2014
5:30 PM	PM	146	14	May	2014
6:00 PM	PM	324	14	May	2014
6:30 PM	PM	162	14	May	2014
7:00 AM	AM	403	15	May	2014
7:15 AM	AM	215	15	May	2014
11:00 AM	AM	39	15	May	2014
11:30 AM	AM	257	15	May	2014
12:00 PM	PM	546	15	May	2014
12:15 PM	PM	49	15	May	2014
12:30 PM	PM	878	15	May	2014
1:45 PM	PM	240	15	May	2014
3:00 PM	PM	80	15	May	2014
5:00 PM	PM	90	15	May	2014
5:30 PM	PM	750	15	May	2014
6:00 PM	PM	449	15	May	2014
10:00 AM	AM	21	16	May	2014
11:00 AM	AM	146	16	May	2014
11:30 AM	AM	372	16	May	2014
11:45 AM	AM	67	16	May	2014
12:00 PM	PM	708	16	May	2014
12:30 PM	PM	164	16	May	2014
12:45 PM	PM	99	16	May	2014
1:00 PM	PM	289	16	May	2014
